hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,354,2016,May,19,6,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Transient,37.56,0,0,Check-Out,2016-05-13
City Hotel,0,142,2017,August,35,31,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,86.1,0,0,Check-Out,2017-09-03
City Hotel,1,304,2015,August,34,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,0,5,2016,May,22,28,2,2,2,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,133.1,0,1,Check-Out,2016-06-01
City Hotel,1,313,2015,August,35,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,0,225,2017,July,27,6,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-09
City Hotel,0,7,2017,August,34,23,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,196.5,0,1,Check-Out,2017-08-25
City Hotel,0,62,2016,November,46,12,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.0,0,2,Check-Out,2016-11-16
City Hotel,0,56,2017,March,12,22,0,3,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2017-03-25
City Hotel,1,267,2016,September,40,30,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,0,Transient,95.0,0,0,Canceled,2016-02-09
Resort Hotel,0,222,2015,September,38,14,1,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,68.0,,0,Transient-Party,80.0,0,0,Check-Out,2015-09-16
City Hotel,0,13,2016,March,14,28,1,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,141.33,0,1,Check-Out,2016-03-31
City Hotel,0,138,2016,August,32,4,0,2,2,2.0,0,BB,NLD,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,183.9,1,0,Check-Out,2016-08-06
City Hotel,0,418,2016,September,40,26,1,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132.0,,223,Transient-Party,107.0,0,0,Check-Out,2016-09-29
Resort Hotel,0,112,2017,March,11,15,0,3,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,477.0,0,Transient-Party,40.0,0,0,Check-Out,2017-03-18
City Hotel,1,112,2016,June,23,2,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,192.0,,0,Transient-Party,120.0,0,0,Canceled,2016-05-27
City Hotel,1,207,2017,August,31,1,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,0,Canceled,2017-04-30
City Hotel,1,265,2017,June,25,24,4,8,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,112.87,0,2,No-Show,2017-06-24
Resort Hotel,0,186,2016,September,39,23,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,95.0,0,2,Check-Out,2016-09-28
Resort Hotel,0,16,2016,April,18,29,2,5,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,71.0,,0,Transient-Party,41.4,0,0,Check-Out,2016-05-06
Resort Hotel,1,95,2017,May,21,25,0,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,155.0,0,0,Canceled,2017-03-21
Resort Hotel,0,44,2015,October,43,19,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,70.5,0,1,Check-Out,2015-10-26
Resort Hotel,0,7,2017,March,9,2,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,29.0,0,0,Check-Out,2017-03-05
City Hotel,0,28,2017,January,1,3,4,10,3,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.9,0,1,Check-Out,2017-01-17
Resort Hotel,0,207,2015,September,39,26,1,1,1,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,208.0,,0,Transient-Party,64.0,0,0,Check-Out,2015-09-28
Resort Hotel,1,350,2017,March,12,24,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,11.0,,0,Transient,30.0,0,0,Canceled,2017-03-10
City Hotel,1,67,2017,February,7,12,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0,0,Canceled,2016-12-07
City Hotel,1,25,2016,May,23,31,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,146.11,0,0,Canceled,2016-05-13
Resort Hotel,0,152,2017,April,14,5,1,4,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,3,No Deposit,,223.0,0,Transient-Party,42.0,0,0,Check-Out,2017-04-10
City Hotel,0,265,2016,June,26,24,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-26
City Hotel,0,25,2015,December,52,26,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,62.64,0,0,Check-Out,2015-12-29
City Hotel,0,119,2017,January,3,16,1,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1,Check-Out,2017-01-20
Resort Hotel,0,240,2016,June,27,27,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,93.96,0,0,Check-Out,2016-07-07
City Hotel,1,365,2016,July,28,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,125,2015,September,39,20,4,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,68.5,0,0,Check-Out,2015-10-01
City Hotel,0,109,2017,August,33,16,0,4,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,225.0,0,1,Check-Out,2017-08-20
Resort Hotel,0,0,2016,February,9,23,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,384.0,0,Transient-Party,30.0,0,0,Check-Out,2016-02-26
Resort Hotel,0,56,2017,August,35,27,2,2,2,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,242.0,0,3,Check-Out,2017-08-31
Resort Hotel,1,49,2017,February,9,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,332.0,,0,Transient,35.0,0,0,Canceled,2017-01-19
City Hotel,0,192,2016,June,26,24,0,2,2,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,34.0,,0,Transient-Party,110.0,0,0,Check-Out,2016-06-26
Resort Hotel,0,166,2016,October,43,20,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,52.71,0,3,Check-Out,2016-10-27
Resort Hotel,1,259,2015,September,38,17,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,1,0,A,A,0,Non Refund,,223.0,0,Transient,33.3,0,0,Canceled,2015-01-21
Resort Hotel,1,72,2017,March,13,29,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,78.0,0,0,Canceled,2017-01-17
Resort Hotel,0,6,2016,October,43,19,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,44.8,0,0,Check-Out,2016-10-20
City Hotel,0,53,2016,November,47,13,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1,Check-Out,2016-11-19
City Hotel,1,71,2017,April,17,26,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0,Canceled,2017-04-20
City Hotel,1,71,2016,November,47,19,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,88.4,0,1,Canceled,2016-09-17
Resort Hotel,0,13,2015,December,52,22,0,3,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient,59.85,0,0,Check-Out,2015-12-25
City Hotel,1,566,2017,January,4,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,145,2017,January,4,28,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,2,Canceled,2016-09-15
City Hotel,1,8,2016,June,24,8,0,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,142.67,0,0,Canceled,2016-06-05
Resort Hotel,1,77,2017,February,6,8,0,3,2,0.0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,33.26,0,0,Canceled,2016-11-28
City Hotel,1,51,2017,June,24,16,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Canceled,2017-04-27
Resort Hotel,1,83,2016,February,6,4,1,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,98.0,0,0,Canceled,2016-01-09
City Hotel,0,87,2016,July,29,14,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,1,Check-Out,2016-07-18
Resort Hotel,1,383,2016,October,41,6,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0,Canceled,2016-03-04
City Hotel,0,18,2016,June,26,20,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,10,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016-06-21
City Hotel,0,4,2015,December,52,26,2,2,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,52.5,0,2,Check-Out,2015-12-30
City Hotel,0,3,2016,December,53,27,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.0,0,0,Check-Out,2016-12-29
City Hotel,0,204,2016,August,35,26,1,2,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,73.65,0,0,Check-Out,2016-08-29
City Hotel,0,91,2017,April,14,2,2,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,9.0,,0,Transient,178.5,0,4,Check-Out,2017-04-06
Resort Hotel,0,302,2017,May,21,25,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,D,D,0,No Deposit,,223.0,99,Transient-Party,67.0,1,0,Check-Out,2017-05-28
Resort Hotel,0,6,2016,April,18,26,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient-Party,64.0,0,0,Check-Out,2016-04-27
City Hotel,0,0,2015,September,39,21,1,2,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Contract,145.0,0,1,Check-Out,2015-09-24
City Hotel,1,177,2016,June,23,3,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,119.0,,0,Transient-Party,100.0,0,0,Canceled,2016-01-16
City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,0,116,2016,July,28,6,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.55,0,2,Check-Out,2016-07-10
City Hotel,1,61,2015,December,53,30,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient,111.6,0,1,Canceled,2015-12-07
City Hotel,1,350,2016,September,40,30,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,4.0,,17,Transient,90.0,0,0,Canceled,2015-11-02
