deposit_type,lead_time,total_of_special_requests,market_segment,adr,arrival_date_week_number,arrival_date_day_of_month,stays_in_week_nights
0,236,0,0,48.0,20,12,3
0,0,0,1,48.0,14,29,1
0,44,0,0,98.0,1,2,1
1,126,0,0,65.0,16,14,3
1,15,0,2,95.0,7,17,2
0,45,2,1,85.5,43,22,3
0,200,1,1,41.58,15,9,2
0,11,1,1,170.0,20,17,4
1,468,0,0,62.0,43,20,2
1,283,0,0,62.0,31,27,1
0,84,0,3,150.3,35,22,1
0,34,0,2,75.0,8,19,4
0,47,1,2,60.0,45,7,2
0,30,2,1,140.88,45,4,2
1,186,0,0,130.0,22,30,2
0,38,0,1,88.0,7,16,3
1,262,0,0,62.8,46,9,2
0,5,0,3,75.0,8,14,0
1,379,0,0,62.0,44,31,1
0,19,0,3,101.0,15,7,3
0,113,1,1,110.0,22,2,2
0,19,0,1,85.0,11,9,3
0,20,0,1,131.2,40,26,3
0,94,0,2,79.5,38,13,10
0,207,0,2,34.0,39,26,1
0,52,0,3,89.1,26,20,2
0,178,2,1,90.9,44,26,4
0,10,2,1,195.0,40,30,1
0,37,1,1,126.0,41,2,1
0,32,0,1,208.0,41,3,5
1,78,0,0,92.0,41,9,2
0,28,1,1,106.4,25,22,2
0,185,0,1,164.7,32,8,5
0,284,0,1,104.4,16,22,1
1,364,0,2,101.5,42,16,2
0,0,0,3,56.0,42,13,1
0,180,1,1,303.0,29,17,3
1,341,0,0,62.0,39,23,2
0,112,2,1,42.0,8,24,2
0,3,1,4,0.0,13,1,1
1,34,0,2,90.0,50,8,2
0,38,1,1,86.83,53,31,4
0,359,0,1,165.6,31,30,5
0,306,1,1,185.4,32,11,2
0,138,1,1,69.0,11,13,5
0,56,1,1,53.0,46,11,4
0,113,1,1,116.1,24,9,3
0,32,1,3,110.72,41,2,6
0,6,2,1,261.0,21,21,1
0,53,0,1,54.56,19,7,5
0,22,1,1,91.63,40,26,3
1,137,0,2,125.0,25,23,2
0,29,0,2,85.0,44,25,3
0,0,2,1,87.0,7,16,1
0,84,0,1,87.3,14,1,2
0,27,2,1,110.0,38,11,0
0,141,0,2,90.0,39,20,0
0,28,0,1,205.0,41,6,3
0,23,1,1,119.0,43,20,2
0,0,0,3,77.0,17,18,2
0,35,0,1,90.78,12,20,3
0,138,0,0,60.0,30,25,1
0,165,1,1,103.5,29,10,0
0,271,0,2,95.0,39,21,3
0,47,0,1,118.8,17,23,1
0,190,2,1,326.5,32,12,3
1,336,0,2,101.5,38,18,2
0,8,0,1,92.4,40,1,1
0,7,0,5,79.0,51,13,1
0,60,1,1,160.0,29,15,2
0,199,0,2,48.0,39,21,1
0,93,1,1,126.9,26,20,1
0,55,0,2,104.0,15,6,1
0,323,0,0,62.0,36,5,2
0,275,0,0,74.45,16,10,5
0,327,0,0,61.4,38,14,4
1,321,0,0,62.0,36,3,2
0,1,1,1,80.0,32,7,2
0,200,2,1,79.2,18,27,4
0,113,1,2,154.38,32,7,5
0,48,0,2,130.0,38,14,2
0,248,0,2,59.6,25,17,10
0,29,1,5,66.18,49,2,2
0,91,0,1,102.06,43,17,2
0,102,0,2,109.0,42,16,2
0,96,0,2,98.17,25,18,1
1,301,0,2,101.5,33,14,2
0,287,0,0,46.5,42,15,3
0,46,2,1,120.0,26,29,1
0,53,1,3,256.72,30,23,3
0,61,1,5,40.0,31,24,2
0,136,0,1,123.8,24,17,2
0,116,0,2,61.0,10,28,1
0,18,2,1,192.0,26,29,3
0,0,0,3,66.0,47,17,2
0,3,0,1,69.84,3,15,3
0,143,0,1,64.26,19,2,4
0,178,0,2,116.5,34,20,2
1,155,0,2,130.0,15,13,3
1,80,0,2,90.0,13,31,2
0,72,1,0,91.67,6,6,1
0,135,2,1,68.0,29,16,3
0,10,0,2,60.0,48,21,3
0,116,0,2,61.0,10,28,1
0,0,0,3,111.0,47,18,1
0,42,1,1,118.8,17,23,1
0,34,1,1,100.0,16,17,3
0,25,0,1,202.0,31,29,2
0,35,2,1,60.0,53,25,1
1,259,0,0,40.05,38,17,3
0,194,0,1,240.57,31,30,5
0,104,0,1,144.0,22,2,2
0,20,0,1,272.0,28,12,4
0,377,1,2,115.0,42,14,2
0,54,0,5,67.0,13,26,0
0,3,1,2,46.4,6,6,1
0,212,1,2,78.0,21,20,3
0,0,2,5,82.0,24,12,0
0,230,2,1,123.0,28,6,3
0,95,0,0,75.0,45,5,1
0,102,2,1,117.0,20,18,3
0,4,1,1,137.0,53,30,2
0,59,2,1,170.0,25,18,3
0,1,1,4,0.0,21,17,1
0,80,1,3,210.75,19,11,3
0,211,1,1,37.8,46,12,3
1,309,0,0,62.0,20,12,2
1,69,0,5,85.0,14,6,3
1,203,0,0,65.0,23,2,3
0,23,1,1,149.0,18,5,2
0,0,0,3,124.0,37,8,1
0,148,1,1,104.4,44,27,3
0,209,0,1,158.0,32,2,10
0,72,1,3,99.67,27,1,4
0,6,0,1,67.5,21,24,1
0,195,0,2,48.0,38,17,2
0,131,0,1,132.3,42,15,1
0,4,0,3,58.0,13,23,1
1,23,0,2,166.5,23,7,2
0,59,2,1,48.4,49,5,1
0,152,0,2,62.9,24,11,5
0,0,0,1,145.85,22,23,1
0,0,0,3,80.0,3,15,2
1,34,0,2,90.0,50,8,2
0,15,2,1,166.6,23,29,2
1,89,0,0,170.0,40,27,0
0,56,0,3,125.1,21,16,1
0,121,0,2,43.93,43,18,5
0,34,1,1,98.1,22,22,1
0,22,2,1,109.5,15,14,2
1,351,0,0,62.0,26,23,2
0,396,1,2,122.4,26,25,0
0,19,0,3,227.1,36,2,2
0,88,1,1,134.1,25,15,3
0,237,1,1,109.8,34,21,2
0,19,0,2,30.6,47,15,4
0,2,1,2,81.75,21,15,2
0,97,1,1,94.5,48,20,0
0,405,0,2,114.4,27,4,2
1,105,0,2,160.0,20,19,2
0,49,1,1,77.76,10,10,2
0,14,0,5,143.0,28,6,1
0,78,0,1,155.0,19,10,4
0,40,0,1,95.0,24,11,1
0,75,0,2,75.0,18,25,3
0,159,1,2,81.85,24,5,5
1,178,0,0,135.0,37,9,2
0,28,2,1,110.65,42,12,1
0,90,1,1,99.45,17,23,5
0,134,1,1,76.58,20,9,4
0,236,2,1,138.0,33,8,3
0,28,0,3,154.0,25,20,5
0,1,0,3,93.0,41,6,2
0,196,0,0,114.0,53,30,2
0,89,0,1,116.1,36,29,1
0,5,0,2,90.0,43,19,2
0,63,0,1,122.4,21,24,2
0,44,1,4,0.0,22,23,1
0,1,0,1,43.0,1,3,3
0,102,1,1,137.25,21,21,2
1,148,0,0,39.0,43,24,1
1,45,0,2,70.0,44,29,3
0,105,1,1,155.0,33,14,0
0,1,1,3,0.0,13,22,1
0,13,1,1,71.19,1,6,2
1,440,0,0,62.0,39,22,2
0,9,1,2,87.0,8,14,2
0,155,0,2,124.0,16,19,4
0,1,0,3,39.0,51,17,1
0,244,2,1,125.1,27,8,3
0,56,1,1,62.0,11,12,1
0,0,0,3,109.0,24,7,1
0,186,2,1,166.5,25,22,3
0,161,1,1,97.75,28,7,3
0,3,0,4,0.0,19,2,0
0,125,3,3,175.0,32,9,4
1,377,0,0,62.0,44,29,2
0,255,0,2,42.3,18,30,8
0,10,1,3,149.0,42,13,3
0,43,1,2,85.5,43,20,1
0,45,0,1,71.1,11,11,2
0,177,2,1,153.0,26,26,2
0,11,0,1,98.0,4,23,0
0,1,0,2,60.0,10,28,1
0,17,0,5,48.0,46,8,5
1,157,0,2,52.0,40,1,2
0,176,0,1,143.1,38,15,3
0,112,0,0,70.0,7,12,2
1,275,0,2,50.0,41,4,0
0,1,2,3,130.5,22,2,2
1,59,0,0,140.0,22,29,0
1,30,0,2,140.0,23,2,2
0,135,0,2,90.0,38,14,2
0,3,2,1,88.0,9,27,1
0,111,1,1,132.6,24,9,3
0,38,1,1,103.87,48,26,1
0,51,0,1,105.0,27,4,1
0,87,1,2,106.25,44,23,1
0,2,0,2,65.0,22,31,6
0,1,0,1,66.0,10,29,3
1,204,0,2,100.0,19,5,3
0,21,0,1,91.0,11,7,0
0,10,0,1,119.0,25,14,1
1,125,0,0,85.0,16,20,3
0,188,0,1,175.5,32,7,1
0,274,0,0,62.0,29,18,2
0,52,0,1,216.57,31,29,5
0,83,2,1,148.5,17,25,4
0,25,0,2,44.5,41,5,1
0,99,2,1,110.4,13,31,2
0,250,2,1,109.8,24,17,1
0,25,1,1,81.86,11,8,5
0,78,1,3,106.0,41,10,15
0,396,1,2,122.4,26,25,0
0,0,0,3,230.0,34,22,1
0,147,1,1,184.5,31,5,5
0,53,0,1,137.7,15,7,3
1,365,0,0,62.0,28,7,2
0,0,0,3,0.0,7,8,0
0,14,0,1,209.0,38,13,1
0,96,0,2,90.95,38,13,3
0,8,0,3,104.33,53,29,5
0,102,0,3,100.0,17,24,3
0,19,1,1,160.0,31,1,2
0,263,1,0,105.0,25,23,2
1,240,0,0,110.0,43,21,2
0,76,1,3,134.0,53,26,1
0,6,1,5,65.0,19,9,3
0,39,0,1,72.2,10,28,2
1,356,0,0,62.0,41,8,2
0,8,0,2,130.0,45,5,1
0,180,0,2,55.0,40,1,1
0,116,0,3,392.0,32,9,8
0,37,0,2,95.0,42,13,3
1,350,0,2,90.0,40,30,2
0,88,0,3,85.5,17,19,1
0,80,1,1,96.3,26,23,1
1,158,0,0,130.0,22,24,2
0,95,1,1,106.2,1,1,2
0,83,0,1,135.0,18,3,4
0,32,0,1,198.9,18,30,1
0,79,0,3,219.0,31,27,3
0,27,0,3,72.0,16,10,2
0,5,0,5,25.0,5,26,1
0,6,0,2,78.2,45,4,4
0,49,1,1,157.99,34,25,2
0,211,0,0,85.0,20,14,1
0,114,3,1,153.0,20,19,2
0,84,1,0,55.8,9,1,19
0,141,0,2,93.6,24,16,2
0,80,0,3,94.0,47,20,2
0,64,0,1,71.6,10,5,2
0,142,2,1,126.0,19,8,2
0,151,0,2,71.0,4,19,2
0,221,0,2,65.0,42,17,1
0,16,0,2,75.0,5,4,3
1,88,0,0,170.0,39,26,2
0,159,3,1,37.8,5,4,1
0,230,2,1,83.78,20,12,3
0,33,0,1,74.25,50,10,3
1,358,0,0,62.0,27,30,2
0,202,1,1,40.11,13,20,5
1,38,0,5,75.0,2,14,1
0,236,0,0,48.0,20,12,3
0,140,0,2,71.1,33,15,1
0,94,0,1,135.0,19,7,3
1,271,0,0,62.0,29,15,2
0,135,1,1,86.49,13,31,3
0,48,2,1,121.8,18,25,2
0,75,1,1,66.83,53,29,4
0,1,0,2,51.0,52,22,5
1,126,0,0,65.0,16,14,3
1,158,0,0,130.0,22,24,2
0,2,2,0,65.0,36,30,0
0,21,2,1,60.0,8,25,1
0,100,0,0,62.0,44,31,1
0,18,0,1,68.07,52,18,2
0,72,0,1,98.0,8,14,2
0,39,2,1,113.9,7,16,3
0,279,0,0,63.4,41,8,5
0,38,1,1,66.0,51,16,2
0,16,1,1,129.0,35,21,0
0,9,0,1,127.67,14,28,5
0,256,2,1,156.51,27,7,5
0,61,1,1,124.5,35,27,3
0,19,0,1,69.0,49,5,3
0,7,0,3,156.67,15,14,2
0,287,0,0,44.5,42,15,3
0,30,1,1,49.0,51,16,2
0,87,0,1,154.67,22,31,3
0,330,1,1,199.0,35,27,1
0,137,0,2,173.25,31,25,2
0,50,1,3,299.0,33,14,4
1,278,0,0,65.0,33,11,1
0,2,2,1,89.0,38,16,3
0,5,0,5,57.0,43,18,2
0,80,1,1,126.9,19,2,1
0,56,0,1,65.75,10,5,3
